iter	Passed	Remaining
0	164	163870
1	165	82534
2	166	55271
3	167	41702
4	171	34175
5	173	28722
6	177	25166
7	178	22172
8	181	19934
9	183	18155
10	186	16737
11	187	15429
12	188	14316
13	189	13358
14	191	12589
15	194	11962
16	195	11327
17	197	10757
18	201	10400
19	202	9935
20	204	9521
21	205	9143
22	207	8826
23	209	8519
24	213	8328
25	215	8086
26	216	7816
27	218	7597
28	220	7399
29	222	7184
30	228	7138
31	229	6952
32	234	6862
33	236	6712
34	237	6556
35	239	6400
36	240	6272
37	242	6142
38	244	6020
39	245	5895
40	247	5779
41	286	6544
42	288	6422
43	290	6306
44	291	6195
45	293	6081
46	294	5973
47	295	5870
48	297	5774
49	299	5695
50	302	5631
51	303	5541
52	304	5449
53	306	5363
54	307	5287
55	309	5209
56	310	5131
57	311	5059
58	312	4989
59	314	4920
60	315	4853
61	316	4788
62	318	4732
63	319	4672
64	320	4612
65	321	4552
66	322	4495
67	323	4438
68	325	4390
69	327	4344
70	328	4294
71	329	4246
72	331	4205
73	332	4161
74	333	4119
75	335	4078
76	337	4047
77	338	4006
78	340	3968
79	341	3928
80	343	3892
81	344	3856
82	345	3820
83	347	3784
84	348	3747
85	349	3715
86	350	3676
87	351	3642
88	352	3609
89	353	3577
90	355	3548
91	356	3520
92	357	3488
93	359	3462
94	360	3436
95	361	3407
96	363	3380
97	364	3353
98	365	3326
99	366	3301
100	368	3280
101	369	3250
102	370	3229
103	372	3207
104	373	3186
105	375	3162
106	376	3138
107	377	3115
108	378	3092
109	379	3073
110	380	3051
111	382	3030
112	383	3009
113	384	2991
114	386	2971
115	387	2951
116	388	2930
117	389	2912
118	390	2891
119	391	2873
120	393	2855
121	394	2838
122	394	2815
123	396	2799
124	397	2783
125	398	2765
126	400	2750
127	401	2732
128	402	2717
129	404	2709
130	408	2708
131	409	2694
132	411	2679
133	412	2663
134	414	2652
135	415	2639
136	417	2628
137	418	2614
138	420	2603
139	421	2591
140	423	2578
141	424	2566
142	426	2554
143	427	2541
144	430	2535
145	431	2523
146	433	2514
147	434	2504
148	436	2491
149	437	2481
150	439	2468
151	440	2456
152	441	2445
153	443	2433
154	444	2421
155	445	2412
156	447	2401
157	448	2390
158	449	2378
159	450	2367
160	452	2358
161	453	2347
162	456	2342
163	457	2333
164	459	2325
165	461	2319
166	462	2308
167	464	2298
168	465	2288
169	466	2278
170	467	2267
171	468	2257
172	470	2248
173	471	2239
174	473	2230
175	474	2220
176	475	2210
177	476	2201
178	477	2191
179	479	2182
180	479	2170
181	480	2160
182	483	2156
183	484	2148
184	486	2142
185	487	2133
186	488	2125
187	490	2116
188	491	2108
189	492	2100
190	494	2093
191	495	2086
192	497	2078
193	498	2070
194	499	2062
195	501	2055
196	502	2047
197	503	2039
198	504	2031
199	506	2026
200	508	2019
201	509	2012
202	510	2004
203	512	1999
204	513	1992
205	514	1984
206	516	1976
207	517	1970
208	519	1964
209	520	1958
210	521	1951
211	523	1944
212	524	1937
213	525	1930
214	527	1926
215	529	1920
216	530	1915
217	532	1911
218	534	1904
219	535	1898
220	536	1892
221	537	1885
222	539	1878
223	540	1871
224	541	1865
225	543	1860
226	544	1855
227	546	1849
228	547	1842
229	548	1836
230	549	1830
231	550	1823
232	552	1818
233	553	1812
234	555	1807
235	556	1801
236	557	1795
237	558	1789
238	560	1783
239	561	1777
240	562	1771
241	564	1767
242	565	1762
243	567	1758
244	568	1752
245	569	1747
246	571	1741
247	572	1735
248	573	1730
249	574	1724
250	576	1719
251	577	1713
252	578	1708
253	580	1703
254	581	1698
255	583	1695
256	584	1691
257	586	1686
258	587	1681
259	589	1676
260	590	1672
261	592	1667
262	593	1662
263	594	1658
264	596	1653
265	597	1648
266	598	1643
267	600	1639
268	601	1634
269	602	1629
270	604	1625
271	605	1621
272	606	1616
273	608	1611
274	609	1606
275	610	1602
276	612	1597
277	613	1592
278	614	1588
279	616	1585
280	617	1580
281	620	1578
282	621	1574
283	622	1570
284	623	1565
285	624	1560
286	626	1555
287	627	1551
